Year,Institute,EEP80,EEP50,EEP20,Opportunity_Width,Beta0,Beta1,Pseudo_R2,GLM_Converged,N_Obs_Fit,Model_Note
2017,NIDCR,13.55,18.63,23.71,10.16,5.083,-0.2729,0.7561,True,47,
2017,NIDDK,11.33,16.01,20.7,9.37,4.7419,-0.2961,0.8881,True,50,
2017,NIGMS,18.01,25.63,33.26,15.25,4.6607,-0.1818,0.8332,True,50,
2017,NIMH,15.34,21.42,27.5,12.16,4.8846,-0.228,0.7969,True,50,
2017,NIMHD,20.3,28.97,37.63,17.33,4.635,-0.16,0.5166,True,45,
2017,NINDS,13.92,18.53,23.15,9.23,5.5693,-0.3005,0.8934,True,50,
2017,NINR,8.65,12.66,16.67,8.02,4.3761,-0.3457,0.7751,True,44,
2017,NLM,13.51,18.4,23.28,9.77,5.2195,-0.2837,0.711,True,23,
2018,ALL NIH,13.32,20.13,26.94,13.62,4.1003,-0.2037,0.9639,True,50,
2018,NCI,9.27,11.36,13.45,4.18,7.5316,-0.663,0.9556,True,50,
2018,NEI,24.9,29.41,33.92,9.02,9.0412,-0.3074,0.8531,True,50,
2018,NHGRI,19.72,23.62,27.51,7.79,8.4108,-0.3562,0.8367,True,36,
2018,NHLBI,17.81,23.8,29.78,11.97,5.5114,-0.2316,0.8761,True,50,
2018,NIA,24.65,31.53,38.41,13.76,6.3568,-0.2016,0.7839,True,50,
2018,NIAAA,19.65,24.88,30.11,10.46,6.5972,-0.2651,0.7994,True,48,
2018,NIAID,16.77,21.05,25.34,8.57,6.8079,-0.3233,0.936,True,50,
2018,NIAMS,12.12,15.79,19.45,7.33,5.973,-0.3783,0.8435,True,50,
2018,NICHD,14.21,18.58,22.95,8.74,5.8962,-0.3173,0.8972,True,50,
2018,NIDA,10.26,16.86,23.46,13.2,3.539,-0.2099,0.7656,True,50,
2018,NIDCD,17.89,22.72,27.55,9.66,6.5198,-0.287,0.822,True,49,
2018,NIDCR,14.85,18.85,22.84,7.99,6.5396,-0.347,0.8337,True,48,
2018,NIDDK,13.62,18.77,23.93,10.31,5.0474,-0.2689,0.8643,True,50,
2018,NIGMS,17.64,26.5,35.35,17.71,4.1468,-0.1565,0.7768,True,50,
2018,NIMH,14.87,22.24,29.6,14.73,4.186,-0.1882,0.7765,True,50,
2018,NIMHD,15.08,22.22,29.37,14.29,4.3124,-0.194,0.5725,True,38,
2018,NINDS,16.15,19.63,23.12,6.97,7.8129,-0.3979,0.9353,True,50,
2018,NINR,15.51,19.29,23.06,7.55,7.0813,-0.3672,0.8167,True,44,
2018,NLM,,,,,,,,False,30,Too few transition-zone points: 2 (need 3)
2019,ALL NIH,12.04,19.37,26.7,14.66,3.6619,-0.1891,0.9677,True,50,
2019,NCI,8.05,10.82,13.6,5.55,5.4063,-0.4995,0.9431,True,50,
2019,NEI,20.94,27.39,33.84,12.9,5.8887,-0.215,0.7742,True,50,
2019,NHGRI,13.24,17.02,20.81,7.57,6.2387,-0.3665,0.8409,True,41,
2019,NHLBI,16.51,22.27,28.04,11.53,5.3546,-0.2404,0.8858,True,50,
2019,NIA,22.08,31.04,40.01,17.93,4.8013,-0.1547,0.7155,True,50,
2019,NIAAA,16.15,21.88,27.61,11.46,5.2931,-0.242,0.7236,True,47,
2019,NIAID,15.21,20.22,25.23,10.02,5.597,-0.2768,0.8926,True,50,
2019,NIAMS,12.14,15.92,19.7,7.56,5.8429,-0.367,0.8779,True,50,
2019,NICHD,11.68,17.42,23.16,11.48,4.2084,-0.2416,0.8245,True,50,
2019,NIDA,7.7,14.55,21.4,13.7,2.944,-0.2023,0.728,True,50,
2019,NIDCD,16.05,20.18,24.3,8.25,6.7863,-0.3364,0.8361,True,49,
2019,NIDCR,14.92,21.05,27.18,12.26,4.7616,-0.2262,0.6782,True,49,
2019,NIDDK,14.08,18.69,23.29,9.21,5.6263,-0.3011,0.8889,True,50,
2019,NIGMS,17.92,27.63,37.33,19.41,3.9469,-0.1429,0.7566,True,50,
2019,NIMH,17.24,22.5,27.76,10.52,5.929,-0.2635,0.8633,True,50,
2019,NIMHD,8.94,13.63,18.32,9.38,4.0283,-0.2956,0.7327,True,49,
2019,NINDS,15.34,20.88,26.41,11.07,5.2301,-0.2505,0.8482,True,50,
2019,NINR,11.6,16.9,22.2,10.6,4.4211,-0.2616,0.7499,True,46,
2019,NLM,14.17,19.3,24.42,10.25,5.2214,-0.2706,0.7227,True,44,
2020,ALL NIH,12.62,19.23,25.84,13.22,4.033,-0.2097,0.9647,True,50,
2020,NCI,9.95,12.38,14.81,4.86,7.0633,-0.5706,0.9564,True,50,
2020,NEI,20.97,26.37,31.77,10.8,6.7742,-0.2569,0.809,True,50,
2020,NHGRI,11.69,16.14,20.6,8.91,5.0234,-0.3112,0.7944,True,46,
2020,NHLBI,16.23,21.65,27.08,10.85,5.5299,-0.2554,0.8812,True,50,
2020,NIA,17.51,26.08,34.65,17.14,4.2201,-0.1618,0.7582,True,50,
2020,NIAAA,16.86,23.0,29.14,12.28,5.1939,-0.2258,0.6684,True,50,
2020,NIAID,15.44,20.92,26.4,10.96,5.2928,-0.253,0.8977,True,50,
2020,NIAMS,11.52,14.74,17.95,6.43,6.356,-0.4313,0.8652,True,50,
2020,NICHD,11.45,15.78,20.11,8.66,5.0516,-0.3201,0.8687,True,50,
2020,NIDA,7.69,13.29,18.89,11.2,3.2893,-0.2475,0.8028,True,50,
2020,NIDCD,15.59,20.23,24.88,9.29,6.0425,-0.2986,0.8318,True,47,
2020,NIDCR,18.12,24.6,31.08,12.96,5.2642,-0.214,0.6706,True,47,
2020,NIDDK,16.5,21.58,26.66,10.16,5.888,-0.2729,0.8793,True,50,
2020,NIGMS,15.66,25.98,36.3,20.64,3.4905,-0.1343,0.7392,True,50,
2020,NIMH,14.63,20.3,25.97,11.34,4.9625,-0.2445,0.8298,True,50,
2020,NIMHD,3.96,9.72,15.47,11.51,2.3417,-0.241,0.6467,True,45,
2020,NINDS,15.52,20.77,26.02,10.5,5.4869,-0.2642,0.8811,True,50,
2020,NINR,10.53,16.32,22.12,11.59,3.9032,-0.2391,0.6659,True,44,
2020,NLM,6.23,12.88,19.52,13.29,2.6865,-0.2086,0.5304,True,33,
2021,ALL NIH,11.94,18.41,24.88,12.94,3.9449,-0.2143,0.9586,True,50,
2021,NCI,10.66,13.33,15.99,5.33,6.9335,-0.5202,0.9484,True,50,
2021,NEI,17.04,22.99,28.95,11.91,5.3531,-0.2328,0.7815,True,50,
2021,NHGRI,,,,,,,,False,43,Too few transition-zone points: 1 (need 3)
2021,NHLBI,15.1,20.22,25.35,10.25,5.47,-0.2705,0.8868,True,50,
2021,NIA,15.53,25.66,35.78,20.25,3.513,-0.1369,0.699,True,50,
2021,NIAAA,12.59,19.29,25.99,13.4,3.9918,-0.207,0.67,True,48,
2021,NIAID,13.07,18.37,23.67,10.6,4.8044,-0.2616,0.8756,True,50,
2021,NIAMS,12.92,15.01,17.09,4.17,9.9678,-0.6643,0.9344,True,50,
2021,NICHD,10.0,15.64,21.28,11.28,3.842,-0.2457,0.8269,True,50,
2021,NIDA,5.2,10.96,16.71,11.51,2.6389,-0.2409,0.7688,True,50,
2021,NIDCD,15.49,20.56,25.64,10.15,5.6176,-0.2732,0.7927,True,48,
2021,NIDCR,15.12,24.22,33.32,18.2,3.691,-0.1524,0.5534,True,50,
2021,NIDDK,15.94,21.07,26.19,10.25,5.6966,-0.2704,0.8616,True,50,
2021,NIGMS,14.93,24.59,34.25,19.32,3.5286,-0.1435,0.7316,True,50,
2021,NIMH,14.31,20.17,26.02,11.71,4.7772,-0.2369,0.8421,True,50,
2021,NIMHD,8.32,13.87,19.42,11.1,3.4657,-0.2498,0.6844,True,49,
2021,NINDS,13.19,18.3,23.41,10.22,4.9667,-0.2714,0.8709,True,50,
2021,NINR,9.72,15.48,21.24,11.52,3.7273,-0.2408,0.655,True,43,
2021,NLM,10.71,14.99,19.27,8.56,4.8589,-0.3241,0.6745,True,40,
2022,ALL NIH,12.45,18.86,25.28,12.83,4.0749,-0.216,0.9558,True,50,
2022,NCI,11.03,13.72,16.42,5.39,7.0514,-0.5138,0.9514,True,50,
2022,NEI,17.72,22.72,27.73,10.01,6.2914,-0.2769,0.839,True,50,
2022,NHGRI,9.75,15.07,20.39,10.64,3.9267,-0.2605,0.746,True,42,
2022,NHLBI,14.7,20.55,26.39,11.69,4.8711,-0.2371,0.8646,True,50,
2022,NIA,19.45,27.14,34.84,15.39,4.8884,-0.1801,0.7873,True,50,
2022,NIAAA,14.42,22.87,31.32,16.9,3.7518,-0.164,0.6007,True,50,
